Dataset, Model, Seed, Aug, BestEpoch, TestAcc, TestLoss, ValAcc, ValLoss, Device, Time
IMDB-BINARY, GCN, 546464, Vanilla, 151, 0.680000, 0.9559, 0.790000, 0.8126, cpu, 257.01
IMDB-BINARY, GCN, 546464, G-Mixup, 25, 0.730000, 0.5466, 0.780000, 0.4600, cpu, 292.15
IMDB-BINARY, GCN, 546464, Subgraph, 23, 0.735000, 0.7317, 0.790000, 0.4545, cpu, 81.41
IMDB-BINARY, GCN, 546464, DropEdge, 48, 0.740000, 1.8534, 0.800000, 0.7490, cpu, 126.07
IMDB-BINARY, GCN, 546464, DropNode, 45, 0.725000, 1.5898, 0.780000, 0.7779, cpu, 84.68
IMDB-BINARY, GIN, 1314, Vanilla, 86, 0.745000, 0.4953, 0.700000, 0.7873, cpu, 251.45
IMDB-BINARY, GIN, 1314, G-Mixup, 86, 0.715000, 0.4468, 0.710000, 0.5972, cpu, 290.83
IMDB-BINARY, GIN, 1314, Subgraph, 10, 0.740000, 0.5461, 0.740000, 0.7076, cpu, 93.49
IMDB-BINARY, GIN, 1314, DropEdge, 4, 0.685000, 0.6148, 0.700000, 0.6193, cpu, 152.42
IMDB-BINARY, GIN, 1314, DropNode, 82, 0.655000, 1.0911, 0.700000, 2.2422, cpu, 102.48
IMDB-BINARY, GIN, 11314, Vanilla, 121, 0.700000, 1.0473, 0.770000, 0.8061, cpu, 270.16
IMDB-BINARY, GIN, 11314, G-Mixup, 185, 0.690000, 0.7284, 0.760000, 0.6234, cpu, 305.83
IMDB-BINARY, GIN, 11314, Subgraph, 19, 0.720000, 0.6462, 0.760000, 0.6005, cpu, 94.14
IMDB-BINARY, GIN, 11314, DropEdge, 58, 0.720000, 0.9688, 0.800000, 0.9742, cpu, 151.53
IMDB-BINARY, GIN, 11314, DropNode, 22, 0.760000, 0.5532, 0.790000, 0.5349, cpu, 102.66
IMDB-BINARY, GIN, 21314, Vanilla, 93, 0.695000, 0.6573, 0.820000, 0.5395, cpu, 270.32
IMDB-BINARY, GIN, 21314, G-Mixup, 83, 0.705000, 0.6352, 0.830000, 0.4319, cpu, 303.08
IMDB-BINARY, GIN, 21314, Subgraph, 18, 0.665000, 0.6518, 0.780000, 0.5454, cpu, 95.20
IMDB-BINARY, GIN, 21314, DropEdge, 13, 0.705000, 0.6133, 0.780000, 0.5512, cpu, 164.45
IMDB-BINARY, GIN, 21314, DropNode, 28, 0.645000, 0.8031, 0.810000, 0.5059, cpu, 104.37
IMDB-BINARY, GIN, 31314, Vanilla, 53, 0.700000, 0.6289, 0.800000, 0.5910, cpu, 269.73
IMDB-BINARY, GIN, 31314, G-Mixup, 49, 0.670000, 1.1852, 0.780000, 0.8278, cpu, 303.50
IMDB-BINARY, GIN, 31314, Subgraph, 70, 0.665000, 3.3124, 0.790000, 3.8161, cpu, 95.76
IMDB-BINARY, GIN, 31314, DropEdge, 6, 0.645000, 0.6667, 0.760000, 0.5344, cpu, 149.86
IMDB-BINARY, GIN, 31314, DropNode, 4, 0.730000, 0.5298, 0.820000, 0.4770, cpu, 102.95
IMDB-BINARY, GIN, 41314, Vanilla, 8, 0.740000, 0.5632, 0.760000, 0.5060, cpu, 272.28
IMDB-BINARY, GIN, 41314, G-Mixup, 4, 0.770000, 0.5261, 0.780000, 0.5280, cpu, 273.72
IMDB-BINARY, GIN, 41314, Subgraph, 63, 0.695000, 0.8586, 0.770000, 0.5908, cpu, 81.55
IMDB-BINARY, GIN, 41314, DropEdge, 124, 0.710000, 11.8271, 0.790000, 4.0504, cpu, 126.81
IMDB-BINARY, GIN, 41314, DropNode, 65, 0.725000, 1.1198, 0.820000, 0.4916, cpu, 86.98
