Dataset, Model, Seed, Aug, BestEpoch, TestAcc, TestLoss, ValAcc, ValLoss, Device, Time
IMDB-BINARY, TopKPool, 41314, DropNode, 15, 0.730000, 0.5640, 0.760000, 0.4542, cpu, 127.39
IMDB-BINARY, TopKPool, 51314, Vanilla, 201, 0.705000, 0.7138, 0.830000, 0.3808, cpu, 230.61
IMDB-BINARY, TopKPool, 51314, G-Mixup, 67, 0.675000, 1.0160, 0.830000, 0.4102, cpu, 247.83
IMDB-BINARY, TopKPool, 51314, Subgraph, 35, 0.690000, 0.8743, 0.830000, 0.7211, cpu, 100.98
IMDB-BINARY, TopKPool, 51314, DropEdge, 45, 0.585000, 0.8926, 0.760000, 0.8540, cpu, 163.20
IMDB-BINARY, TopKPool, 51314, DropNode, 165, 0.735000, 54.2856, 0.830000, 60.5868, cpu, 95.17
IMDB-BINARY, TopKPool, 61314, Vanilla, 50, 0.710000, 0.8303, 0.760000, 0.6270, cpu, 185.99
IMDB-BINARY, TopKPool, 61314, G-Mixup, 148, 0.710000, 1.5110, 0.760000, 1.0424, cpu, 185.10
IMDB-BINARY, TopKPool, 61314, Subgraph, 7, 0.675000, 0.5937, 0.770000, 0.6256, cpu, 86.25
IMDB-BINARY, TopKPool, 61314, DropEdge, 20, 0.725000, 0.5672, 0.740000, 0.5511, cpu, 120.60
IMDB-BINARY, TopKPool, 61314, DropNode, 5, 0.730000, 0.5204, 0.770000, 0.5517, cpu, 98.11
IMDB-BINARY, TopKPool, 71314, Vanilla, 5, 0.695000, 0.5704, 0.730000, 0.5627, cpu, 160.75
IMDB-BINARY, TopKPool, 71314, G-Mixup, 30, 0.725000, 0.5563, 0.750000, 0.5563, cpu, 186.16
IMDB-BINARY, TopKPool, 71314, Subgraph, 9, 0.700000, 0.7339, 0.720000, 0.5974, cpu, 84.38
IMDB-BINARY, TopKPool, 71314, DropEdge, 11, 0.705000, 0.5177, 0.740000, 0.6702, cpu, 119.78
IMDB-BINARY, TopKPool, 71314, DropNode, 48, 0.720000, 1.6855, 0.770000, 0.9722, cpu, 90.36
IMDB-BINARY, TopKPool, 0, Vanilla, 55, 0.660000, 0.5506, 0.780000, 0.4502, cpu, 161.13
IMDB-BINARY, TopKPool, 0, G-Mixup, 11, 0.705000, 0.5315, 0.790000, 0.4762, cpu, 185.98
IMDB-BINARY, TopKPool, 0, Subgraph, 50, 0.645000, 1.5913, 0.750000, 1.6241, cpu, 85.38
IMDB-BINARY, TopKPool, 0, DropEdge, 29, 0.690000, 0.9244, 0.790000, 0.9189, cpu, 132.00
IMDB-BINARY, TopKPool, 0, DropNode, 30, 0.700000, 0.6762, 0.780000, 0.5889, cpu, 112.98
IMDB-BINARY, TopKPool, 546464, Vanilla, 12, 0.740000, 0.5339, 0.770000, 0.5225, cpu, 162.90
IMDB-BINARY, TopKPool, 546464, G-Mixup, 21, 0.725000, 0.6558, 0.740000, 0.5931, cpu, 202.69
IMDB-BINARY, TopKPool, 546464, Subgraph, 36, 0.675000, 1.4754, 0.780000, 0.8255, cpu, 86.07
IMDB-BINARY, TopKPool, 546464, DropEdge, 24, 0.725000, 0.9481, 0.710000, 0.7384, cpu, 121.43
IMDB-BINARY, TopKPool, 546464, DropNode, 110, 0.680000, 5.8567, 0.770000, 1.5359, cpu, 99.03
IMDB-MULTI, GCN, 1314, Vanilla, 9, 0.503333, 0.9465, 0.553333, 1.0889, cpu, 257.55
IMDB-MULTI, GCN, 1314, G-Mixup, 81, 0.526667, 1.4063, 0.553333, 1.0374, cpu, 290.07
IMDB-MULTI, GCN, 1314, Subgraph, 7, 0.483333, 1.0155, 0.553333, 1.0805, cpu, 84.87
IMDB-MULTI, GCN, 1314, DropEdge, 6, 0.490000, 1.0290, 0.553333, 1.2910, cpu, 127.01
IMDB-MULTI, GCN, 1314, DropNode, 7, 0.480000, 1.2831, 0.573333, 1.2531, cpu, 92.77
IMDB-MULTI, GCN, 11314, Vanilla, 275, 0.516667, 1.0959, 0.566667, 1.1055, cpu, 265.07
IMDB-MULTI, GCN, 11314, G-Mixup, 50, 0.530000, 1.3748, 0.573333, 0.9117, cpu, 370.08
IMDB-MULTI, GCN, 11314, Subgraph, 128, 0.456667, 69.3794, 0.580000, 33.7742, cpu, 78.57
IMDB-MULTI, GCN, 11314, DropEdge, 4, 0.526667, 1.1142, 0.566667, 0.9657, cpu, 136.97
IMDB-MULTI, GCN, 11314, DropNode, 6, 0.520000, 1.1467, 0.540000, 0.9936, cpu, 108.23
IMDB-MULTI, GCN, 21314, Vanilla, 37, 0.540000, 0.9545, 0.513333, 1.0088, cpu, 301.06
IMDB-MULTI, GCN, 21314, G-Mixup, 19, 0.516667, 0.9505, 0.500000, 1.0144, cpu, 322.48
IMDB-MULTI, GCN, 21314, Subgraph, 16, 0.520000, 1.0131, 0.513333, 1.0562, cpu, 87.52
IMDB-MULTI, GCN, 21314, DropEdge, 25, 0.523333, 1.1029, 0.493333, 1.2042, cpu, 153.34
IMDB-MULTI, GCN, 21314, DropNode, 22, 0.526667, 1.0379, 0.506667, 1.0975, cpu, 221.51
IMDB-MULTI, GCN, 31314, Vanilla, 23, 0.503333, 0.9761, 0.506667, 0.9798, cpu, 367.76
IMDB-MULTI, GCN, 31314, G-Mixup, 34, 0.453333, 1.1079, 0.506667, 1.1043, cpu, 270.94
IMDB-MULTI, GCN, 31314, Subgraph, 175, 0.490000, 36.3636, 0.506667, 24.7047, cpu, 79.50
IMDB-MULTI, GCN, 31314, DropEdge, 5, 0.476667, 1.0535, 0.513333, 0.9910, cpu, 118.46
IMDB-MULTI, GCN, 31314, DropNode, 32, 0.493333, 1.3073, 0.513333, 1.2825, cpu, 87.09
IMDB-MULTI, GCN, 41314, Vanilla, 53, 0.506667, 1.0827, 0.566667, 0.9540, cpu, 247.10
IMDB-MULTI, GCN, 41314, G-Mixup, 10, 0.490000, 1.0031, 0.553333, 0.9506, cpu, 358.61
IMDB-MULTI, GCN, 41314, Subgraph, 14, 0.500000, 1.0754, 0.540000, 1.0036, cpu, 76.45
IMDB-MULTI, GCN, 41314, DropEdge, 38, 0.486667, 1.4611, 0.540000, 1.2064, cpu, 160.97
IMDB-MULTI, GCN, 41314, DropNode, 10, 0.516667, 0.9761, 0.520000, 0.9924, cpu, 113.45
IMDB-MULTI, GCN, 51314, Vanilla, 10, 0.480000, 1.2993, 0.666667, 0.9025, cpu, 276.51
